producto|precio|url_producto|reviews|estado|cantidad_vendidos
Placa de video AMD ASRock  Phantom Gaming Radeon RX 500 Series RX 550 PHANTOM G R RX550 2G 2GB|27999|https://www.mercadolibre.com.ar/placa-de-video-amd-asrock-phantom-gaming-radeon-rx-500-series-rx-550-phantom-g-r-rx550-2g-2gb/p/MLA15239150?pdp_filters=category:MLA1658#searchVariation=MLA15239150&position=1&search_layout=grid&type=product&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c|52|Nuevo|345
Placa de video AMD Afox  Radeon RX 500 Series RX 550 AFRX550-4096D5H3 4GB|43900|https://www.mercadolibre.com.ar/placa-de-video-amd-afox-radeon-rx-500-series-rx-550-afrx550-4096d5h3-4gb/p/MLA15798249?pdp_filters=category:MLA1658#searchVariation=MLA15798249&position=2&search_layout=grid&type=product&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|1
Placa De Video Radeon Msi Rx 580 Armor 8g Oc Gddr5 Mineria |141999|https://articulo.mercadolibre.com.ar/MLA-918238009-placa-de-video-radeon-msi-rx-580-armor-8g-oc-gddr5-mineria-_JM#position=10&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|1
Placa De Video Arktek Radeon R7 250 Gddr5 2gb 128bits|12699|https://articulo.mercadolibre.com.ar/MLA-912541354-placa-de-video-arktek-radeon-r7-250-gddr5-2gb-128bits-_JM#position=11&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|28
Soporte Rgb Placa De Video Rog Republic Of Gamers Coolmoon|2298|https://articulo.mercadolibre.com.ar/MLA-913203350-soporte-rgb-placa-de-video-rog-republic-of-gamers-coolmoon-_JM#position=12&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|7
Placa Video Amd Rx 580 8gb Ddr5 Gigabyte Gaming 3|144999|https://articulo.mercadolibre.com.ar/MLA-856475289-placa-video-amd-rx-580-8gb-ddr5-gigabyte-gaming-3-_JM#position=13&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|21
Placa De Video Ati Radeon 7450 2gb Gddr3 Hdmi Vga Dvi|11999|https://articulo.mercadolibre.com.ar/MLA-866131225-placa-de-video-ati-radeon-7450-2gb-gddr3-hdmi-vga-dvi-_JM#position=14&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|10
Placa De Video Pci Expres 1gb Hdmi Dvi Bajo Perfil Envio|6000|https://articulo.mercadolibre.com.ar/MLA-852090374-placa-de-video-pci-expres-1gb-hdmi-dvi-bajo-perfil-envio-_JM#position=15&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|4
Placa Video Pci Expre 1gb Dvi Display Port Bajo Perfil Envio|6000|https://articulo.mercadolibre.com.ar/MLA-808772572-placa-video-pci-expre-1gb-dvi-display-port-bajo-perfil-envio-_JM#position=16&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|13
Placa De Video Rx 580 8gb Amd Gddr5 Nueva En Stock|163508|https://articulo.mercadolibre.com.ar/MLA-910397262-placa-de-video-rx-580-8gb-amd-gddr5-nueva-en-stock-_JM#position=17&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|1
